,Unnamed: 0,name,cost,competitive rate,code,date
245,245,올리패스,"20,000",419.4:1,244460,  2019.09.20
246,246,라닉스,"6,000",770.88:1,317120,  2019.09.18
247,247,하나금융스팩13호,"2,000",254.81:1,320000,  2019.09.18
248,248,한독크린텍,"15,100",728.28:1,256150,  2019.09.05
249,249,상상인이안스팩2호,"2,000",265:1,329560,  2019.08.30
250,250,네오크레마,"8,000",1.59:1,311390,  2019.08.22
251,251,미래에셋대우스팩3호,"2,000",508:1,328380,  2019.08.20
252,252,마니커에프앤지,"4,000",1216.48:1,195500,  2019.08.20
253,253,나노브릭,"16,000",2.58:1,286750,  2019.08.19
254,254,에스피시스템스,"4,900",786.16:1,317830,  2019.08.14
255,255,레이,"20,000",779.56:1,228670,  2019.08.08
256,256,코윈테크,"34,500",0.48:1,282880,  2019.08.05
257,257,그린플러스,"10,000",700.96:1,186230,  2019.08.07
258,258,슈프리마아이디,"27,000",707.26:1,317770,  2019.08.01
259,259,덕산테코피아,"19,000",1.96:1,317330,  2019.08.02
260,260,한국바이오젠,"6,000",1019.62:1,318000,  2019.08.01
261,261,세경하이테크,"35,000",1.20:1,148150,  2019.07.30
262,262,윌링스,"12,500",532.83:1,313760,  2019.07.25
263,263,대모(구.대모엔지니어링),"5,200",1268.53:1,317850,  2019.07.24
264,264,에이스토리,"14,300",131.51:1,241840,  2019.07.19
265,265,플리토,"26,000",710.71:1,300080,  2019.07.17
266,266,세틀뱅크,"55,000",309.6:1,234340,  2019.07.12
267,267,이베스트이안스팩1호,"2,000",1431.05:1,323210,  2019.07.15
268,268,아이스크림에듀,"15,900",5.70:1,289010,  2019.07.11
269,269,펌텍코리아,"190,000",0.51:1,251970,  2019.07.04
270,270,에이에프더블류,"22,500",552.22:1,312610,  2019.07.01
271,271,신영스팩5호,"2,000",596.8:1,323280,  2019.06.24
272,272,케이비스팩18호,"2,000",279.11:1,323940,  2019.06.24
273,273,신한스팩5호,"2,000",654:1,323230,  2019.06.19
274,274,압타바이오,"30,000",663.03:1,293780,  2019.06.12
275,275,까스텔바쟉,"12,000",3.4:1,308100,  2019.06.10
276,276,마이크로디지탈,"23,000",1116.34:1,305090,  2019.06.05
277,277,디비금융스팩7호,"2,000",269:1,322780,  2019.05.31
278,278,유진스팩4호,"2,000",300.40:1,321260,  2019.05.31
279,279,수젠텍,"12,000",1.48:1,253840,  2019.05.28
280,280,컴퍼니케이파트너스,"4,500",850.46:1,307930,  2019.05.23
281,281,엔에이치스팩14호,"2,000",51.89:1,319400,  2019.05.08
282,282,에스앤케이,"40,400",185.17:1,950180,  2019.05.07
283,283,한화에스비아이스팩,"2,000",6.66:1,317320,  2019.05.03
284,284,하이스팩4호,"2,000",1.89:1,317240,  2019.04.29
285,285,아모그린텍,"9,900",22.13:1,125210,  2019.03.29
286,286,현대오토에버,"48,000",345.24:1,307950,  2019.03.28
287,287,지노믹트리,"27,000",13.10:1,228760,  2019.03.27
288,288,케이비스팩17호,"2,000",1.49:1,317030,  2019.03.27
289,289,이지케어텍,"12,300",1272.11:1,99750,  2019.03.22
290,290,유안타스팩4호,"2,000",1.81:1,313750,  2019.03.21
291,291,미래에셋벤처투자,"4,500",1021.77:1,100790,  2019.03.15
292,292,드림텍,"13,000",562.7:1,192650,  2019.03.14
293,293,에코프로비엠,"48,000",273.78:1,247540,  2019.03.05
294,294,셀리드,"33,000",818.83:1,299660,  2019.02.20
295,295,천보,"40,000",426.09:1,278280,  2019.02.11
296,296,이노테라피,"18,000",463.37:1,246960,  2019.02.01
297,297,노랑풍선,"20,000",1025.2:1,104620,  2019.01.30
298,298,웹케시,"26,000",947:13.1,53580,  2019.01.25
299,299,에어부산,"3,600",36.5:1,298690,  2018.12.27
300,300,비피도,"18,000",159.97:1,238200,  2018.12.26
301,301,키움스팩5호,"2,000",2.04:1,311270,  2018.12.26
302,302,엔에이치스팩13호,"2,000",39.57:1,310840,  2018.12.24
303,303,유틸렉스,"50,000",322.96:1,263050,  2018.12.24
304,304,미래에셋대우스팩2호,"2,000",67.95:1,310200,  2018.12.21
305,305,디케이티,"7,400",780.32:1,290550,  2018.12.21
306,306,위지윅스튜디오,"11,000",6.84:1,299900,  2018.12.20
307,307,신영스팩4호,"2,000",2.09:1,307180,  2018.12.21
308,308,에이비엘바이오,"15,000",0.78:1,298380,  2018.12.19
309,309,대신밸런스스팩6호,"2,000",4.37:1,307750,  2018.12.19
310,310,한국스팩8호,"2,000",22.02:1,310870,  2018.12.20
311,311,삼성머스트스팩3호,"2,000",4.16:1,309930,  2018.12.20
312,312,머큐리,"6,100",930.39:1,100590,  2018.12.14
313,313,전진바이오팜,"10,000",24.80:1,110020,  2018.12.14
314,314,이노메트리,"26,000",791.16:1,302430,  2018.12.12
315,315,뉴트리,"14,500",0.19:1,270870,  2018.12.13
316,316,골든브릿지이안스팩5호,"2,000",0.57:1,307870,  2018.12.12
317,317,대유에이피,"3,000",11.12:1,290120,  2018.12.07
318,318,에스케이에이씨피씨스팩4호,"2,000",2.65:1,307070,  2018.12.07
319,319,교보스팩8호,"2,000",48.97:1,307280,  2018.12.05
